file,transcription
JdWhGym5e-4_022.wav,mu nsuo no yɛpɛ sɛ ɛba fɔm kakra na sɛneɛ mediikan kyerɛɛ mu no ɛwɔ 25 fɛnt ɛmu ɔha mu aduonu nnum nsuo a dodoɔ a ɛwɔ mu no no yɛwɔ sɛ yɛtumi ɛde ba 18 percent a ɛyɛ 18 ɔmo 18 okay nti na kyerɛ sɛ abusuafoɔ ɔkyire mu a na kyerɛ sɛ yɛbɛtoa so ahata kakra because ɔpayɛ sɛ ɛwɔ sɛ nsuo no firi mu kakra nsuo no a ɛwɔ aburo no mu no ɛwɔ sɛ ɛba fɔm
f05Va043T1w_030.wav,adwuma koraa ɛnyɛ den biara me dɔ koraa ɛnyɛ den ama no nti obi a wobɛtumi ayɛ adi no anyɛ den wei a medɔ no mewɔ obi a ɔmo boa me nso me mma sika kakra na ɔmo aboa me afuo no nafuo no ayɛ kama wei deɛ yɛtwetwe nkɔmmɔ yi ɛyɛ den na mmaa no bi nso wɔ ha akua adwuma no ɛde ma wo
r21AetJNNyQ_041.wav,ama aburo no one ɛsa so tee ɛwɔ lines lines mu okay ɛna yɛ set plant no nso sɛ ɛbɛyɛ a ɛɛ between one plant and another no space no ɛyɛ the same ooh okay alright nti ɛboa ɛboa paa ama ne dua no mu no na yɛnhwɛ sɛ wose ɛsa so na ɔnhwɛ
ocVtCN_UOrA_055.wav,ne story ne nyinaa so no yɛbɛ pɛ sɛ yɛbɛ take control no sɛn na yɛtumi control mprako no nipa dodoɔ sɛn na wo ne ɔmo yɛ adwuma yi wo work force ɛte sɛn because yɛhunu sɛ wonyin deɛ ayi kɔ dwumadie ebia daakye aba ha biom
ijhKvkiiKHY_011.wav,bisa wɔ mo nea enti a ɔmo ntumi nyɛ afuo no ɛwɔ large scale like ɔmo nyɛ no kɛseɛ kɛseɛ head because obi wɔ hɔ a ɔmo yɛ no kakraa bi ɛna titiriw mmaa no nsoso no bebree no ara ntumi nyɛ like ɔmo yɛ afuo no a ɔmo yɛ no kakra nketewa monnyɛ nkɔ aries
ki-_Om1tte0_032.wav,but obi nso rehwɛ ɛbɛyɛ obi fɛ nneɛma foforɔ bɛn na 2012 yɛnhwɛ anim sɛ ministry of fishries ɛna kɔ court a mede bɛwura kuayɛ mu ɛyɛ nyame ne pɛ a 2020 yɛde nnoɔma bebree ɛtoɔ akwan mu wobɛhwɛ a other countries no ɔmo yɛ ama ɛyɛ fishes no akwannya na
gFTao_lZuBE_004.wav,erm medaase menua ɛyɛ me sɛ 2017 ansa na mebɛkɔ awors no na ayɛ gu so ara na ɛsɛ medinkan kaa no wɔ me nkasa yɛ hu sɛ moayɛ no ɛbi yɛ nantwie na ebi yɛ poultry nkokɔ adwan ne mponkye so ɛna fish pound nso ɛka ho nti mmoa yɛ nono ɛne no
1VEFB3falX4_043.wav,ɛyɛ by day anaasɛ ɔmo te na wone ɔmo akyɛ ɔmo te na yɛakyɛ mokyerɛ mo sɛn yɛ kyɛmu 4:33 na ɛno ne nea wobɛtumi ɔmo ka no the one na yɛhwɛ a ɛnom ɔyɛ sei deɛ mebɛtua ɔmo kwa ɛno yɛ kyɛn sɛdeɛ wobɛtu ɔmo ka na asaase no ɛyɛ wo ara wo deɛ anaa wo hann me a me dea wɔato ne hann wonnhan
j8BCQYgWDOo_003.wav,nananom akuafo ee akuafoɔ yɛ da mo ase o akuafoɔ yɛda mo ase naa na akuafo ɛyɛ akuafoɔ yɛ da mo ase nyansa baako ano a akuafoɔ ghana akuafo emu ayɛ bi oo akuafoɔ emu ayɛ biara eei hwan bio
3-Go4Hxta3U_043.wav,ɛbɛsan ama awia
IXwHdjLA4lU_030.wav,kwan a ɛbɛfa so a yɛbɛtumi atete the sizes of the greenhouse no so ama ankorankoro a ɔmo yɛ ɔmo adwuma obi wɔ hɔ a ɔyɛ lawyer obi yɛ judge obi yɛ minister obi yɛ mp obi yɛ generalist nanso n ani gyei adwuma ho a ɔpɛ sɛ nka ɔno ara tɔ so dea betumi
YdCo4q9PiSQ_037.wav,bɛn bere bɛn kwan bɛn ɛna yɛfa so ko saa adeɛ na me mangofoɔ na mayɛ no mensuro nkɔ nkɔtwa ngu na mmom mɛtumi atoa so ayɛ okay medaase ɛnti first one no a yɛbɛ tackle no yɛ ɛɛm insects no ɛyɛ store no na ɛyɛ very important ɛnti first refu no time no yɛ sɛ
gxHeg-qyCCw_018.wav,monyɛ sɛn wohwɛ a wokeka bom a sɛn na monya fie na obi wɔ hɔ no ɔmo te nkran asaase yi so no aburokkeka w'ani abetɔ sɛn na first akwan no deɛ nanso afuo no nso sei me yɛ nyaa bɛyɛ 20 ɛwɔ one place pɛ mhm difference nti mhmm 21 no anaa sɛ 50 kilos de akɛseɛ no ma five
cj7n0eMqo7E_003.wav,region de bɛn na ɛwɔ wo tirim wokɔ w'anim da bɛn biom na wopɛ me me din na mo ima ha na woyɛ nyiniel government ayi me tɔ me kaa woamber na wa
_dnDTf2tSi4_011.wav,boa ma ɔman no nyinaa atu mpɔn nti no meyɛɛ m'adwene de ɔpɛ yɛ sɛ ɛneɛ mɛba nti no anuanom na ɛnyɛ easy me first time wɔ kuro wei mu no na ɛyɛ den kakra because na asetena mu ne ade ade nti first time a mebɛduruu kuro no mu na mese ɛnneɛ mɛtumi me lie onnipa
J7jKwBhkmeI_061.wav,but wonya abotare a wotumi yɛ ma no yie me ne wo yere no koraa koraa no hwɛ camera mu no aka biribi kyerɛ utv ahwɛfoɔ na dodoɔ no na titire ne ghana a mɛbu no adwuma ɛnyɛ adwuma bɔne de bɛn na ɛbɛba wiase kama yɛn adu
9qMpFgudEv0_050.wav,ɛne ɔmo a ɔmo boa ɛyɛ kua adwuma nyinaa ama ɔmo aba ama yɛabɛkyerɛkyerɛ ɔmo enti deɛ ɛdi kan a ɛno nti yɛayɛ saa modern farm wei ɛyɛ demonstration yi yɛreyɛ ama ɛyɛ akuafoɔ aba five ɛyɛ varieties akuafoɔ aba na ɔmo abɛ yi deɛ ɛbɛtumi aboa wo paa ebi wɔ hɔ nom a 85 days abɔnten
Lg2ToRLRqvM_053.wav,ne nkɔsuaa yɛredi ani nyinaa no time biara no ɛsɛ sɛ yɛma ɔman no ɛnam a ahoɔden wɔ mu kosuaa ahoɔden mu ebia na obi te baabi na ɔnka nsoso no ho ɛna ɔnoa nso so ɔhyɛ hɔ ɛna ɔreyɛ deɛ ɔpɛ ɛba no saa na ɛyɛ effective na anka obiara
IDH59Jo4Rv0_056.wav,no na mmoa bi yɛfrɛ ɔmo nkakapɛ saa na yɛfrɛ ɔmo twi mu okay ɔmo ba abɛ ba borɔdeɛ no ase enti borɔdeɛ no si hɔ a wobɛhunu sɛ ewu enti ɛwɔ sɛ wopɛ sɛ saa mmoa no ɛkyɛ ansa na ɔmo aba sɛ yɛdane sebɔ a ɔmo bɛba but no si asaase no so kyɛ a ɔmo bɛba aseɛ but wopɛ sɛ ɛkyɛ ansa no ɔmo aba bɛha borɔdeɛ no deɛ a gye sɛ wotete aseɛ nwura no nyinaa firi ɔmo aboɔ no ntumi nte
q-jX8IWCdds_010.wav,fertilizer yɛde ma akuafoɔ no de bɛsii computerfoɔ no so ɛna wɔn akyɛeɛ enti okuani biara bɛdi adanseɛ sɛ fɛ laza ne nsa kaaeɛ no ɔde agu no afuo no yɛtɔ so mmienu yɛkɔfaa fidii a ɛde twa mfuo mu na wɔboroni slashers yɛde brɛ corporate so no ɔno de atwamfoɔ no mu ama ayɛ kamakama ɛba no saa a yareɛ so te ɛyɛ anonom no so te ɛne yadewa ya
5hhQyY-pb74_007.wav,yɛntwa yɛho mmra yɛba a yɛde nka w'atwetwe no ɛbɛhyehyɛ so ayekoo yareɛ abusua mo akwaaba sɛdeɛ mesi bɔ wo amaneɛ no ma me mma yi kuani no ɛ na afei yɛngye nkɔmɔ twetwe tie bi na mfatoho deɛ ɛboa nipa abrabɔ paa nti anka me ho na yɛne twe nkɔmɔ a
SvjOwZT2HX0_062.wav,district bamboi baba tour na yɛbɛtwetwe nkɔmɔ ɛha na yɛde mosi nyame yɛ adom me da foforɔ nkɔtwetwe bi a ɛwɔ adwumakuo adwuma tu mpo na ɛkɔ dwumadie yɛde bɛbrɛ mo y'akra mo nananom akuafoɔ hwan biology
rEiojufZ0Kw_064.wav,akuafoɔ y
ThnBEOZy9Cg_040.wav,sɛn ɛna wo to ɔmofo no atumi ayɛ yie wei deɛ y'anya wo wɔ fie nti nigeriafoɔ monnyɛ no biom kwan bɛn na wofaso etu afu na yɛn nso yɛ fie ha sei nkran rush awakyerɛ sɛ obiara bɔ wo ho mmɔden kwan bɛn na wonfa so aboa yi ɛkwan a mɛfa sole of africa
_F3uEgqMyP0_007.wav,so ɛberɛ yi ɛyɛ berɛ a ɛɛ nnoɔma ɛnkɔ yie nanso sɛdeɛ meka no daa ɛwɔ adeɛ a ɛhyɛ me yi ho no kyerɛ sɛ nnoɔma nyɛ nanso ɛyɛ dɛn a yɛbɛdidi nti youtube a ɛkɔ adwumadie no ministry of agriculture
OUjJti89dFw_045.wav,cooperative no nti kɔpetifo no ɛmu nkyerɛkyerɛ ɛna ɛkɔ political no ara nso yɛn nso yɛboaboa yɛn ho yɛ kɔ yi ha na yakɔboa no ɛkɔ yi ha na y'akɔboa no nhyehyɛ yɛwura mu yɛ kɔ wo a wodin yaa na yakasa ho akyerɛ wo na yakyerɛ wo kwan a wobɛfa so a wobɛyɛ cocoa no nso yɛmmra mo nsaase no so kakra agyafoɔ yɛbɛdi nkɔmmɔ bio na biribi aba abɛfra mu ɛɛ yɛhunu sɛ forest da mo asaase yi ano
KgMSJqes06I_075.wav,sɛ ɛnyɛ nokware kwa na mmom ɛwɔ nnoɔma bi nti na area biara ne adeɛ a wo duru a ɛkɔ yie no infact wo hwɛ aman mu ha na yɛwɔ baabi a ɛyɛ a predominantly no yɛ dua number yɛ bi ɛnyɛ bachance okay usually ɛhɔ asaase no sɛdeɛ asaase no si teɛ ɛɛm asaase no sɛ ɛyɛ ɛyɛ plane ɛda hɔ level anaasɛ mopɛ wɔ mu ɛne
d9O1iEgvn8Y_049.wav,okay great ma memmisa wei ɛɛ yɛreka yɛka adebɔneyɛfoɔ ba mu no yɛmfa no sɛ koko brd ɛyɛ cocoa health development
xVKBfzCMqz4_020.wav,detwa aduro yɛde fa aduro adi gu afuo soɔ anaa afei w'aburo yi wo susu a sɛn na ɛbɛkɔ n'akwan bɛn koraa nso na wowie a wotɔn no wode sie anaasɛ wobu yɛ a na ɔretutu akɔtɔn aburo eka bɛyɛ ɛnan wode w'ani so a wobɛnya bɛɛma wayɛ sei amanfoɔ bɛwe bi
k3ZnZEJuxlg_034.wav,bɛtena so a ɛtumi hunu sɛ no na ɛno deɛ wakyerɛ mu but memmisa no sɛ sɛ meyi wie na ebia oh mayɛ busy megya bi sei ano ha for baabi a three four hours nti yɛkɔ duru ha kyerɛ sɛ ɔmo ayɛ ready wɔ hɔ a ɔmo bɛ start
DY4LhXHNJb8_045.wav,adwuma no ayekoo yadwuma no sɛ wayɛ na watumi de bi akɔ ɔman foforɔ so na ɔman no dan wo ɛno ne sɛ the ss no ghana coco ɛna ɛno deɛ yɛ dua a yɛdi bi wɔ
AQP6N9NptbY_006.wav,da mo ase o akuafoɔ yɛda mo ase abusuafoɔ da hwan wɔ asante akyem agogodwa so ɛna yɛwɔ yi na yɛne agriga director yɛnhwɛ sɛ sɛ yɛde kɔ amanɔne ɛno firi agogo ha no ɛho nsɛm ne adeɛ sɛ figures no koraa te sɛn na yoo medawoase
pPysIPciOfc_006.wav,na wofa boa a nti wo nnɔbaeɛ no fa ebi wo gu so aburo ɛntoose beans ne ne nkeka ho ɛbɛboa wo sanso ɛna wotwe cocoa no aba fie a adwumakuo a yɛfrɛ ɔmo strong sɛ aboboyaa no ara pɛ bi ɛno na ɛbɛtwe de aba fie de ama wo na nnoɔma akɔ yie adwuma
Quqbca1E6FU_023.wav,wɔ ha yi wei deɛ ɔfiri ghana ha yi a akyekyedeɛ wei nyɛ ghana deɛ ɛyɛ west africa giant tortis a ɔfiri malisa ba ɔyɛɛ dɛn na dɛn na wo nsa aka ahyehyɛdeɛ sei yɛwɔ ɛɛ mmoa bi wɔ hɔ a wotumi fa na wode afiri kuro foforɔ so na woba a yɛwɔ mmara ɛwɔ ho a wobɛtumi de aba yɛ man mu nti wofa saa kwan no so
oLVHi9iaQ-E_061.wav,ɔmo ate awie baabi abɛyɛ baabiara ɔmo siesie no akɔ akɔtɔn yɛne deɛ ɔda ɔmo ano ɛtwetwe nkɔmɔ na yɛnhwɛ sɛ ghana yɛrekɔ y'anim ɛwɔ kwan a ɛtɔn yɛ nneɛma ho anaa madam mepa wo kyɛw wo din no sɛn mepa wo kyɛw yɛfrɛ me saa akwadaa ten auntie sarah sɛ yɛte aduaba no anaa no baeɛ no bɛduru ha a ɛbaa mo adwuma no sɛ ɛnfa yɛ frɛ ɔmo kakra deɛ ɛteɛ ne sɛ sɛ yɛnya anɔpa yɛ no de firi afuom hɔ ɛde bɛduru a yɛwɔ biribi a yɛfrɛ no sɛ
w2oP_8puRrw_020.wav,adwuma mu paa frɛ yɛ a mo baeɛ yi mo ne akuafoɔ no na anka w'atwetwe ne te sɛn yoo anim medaase yɛne akuafoɔ no na nkɔmɔ twetwe no ɛsɔ ma nipa y'akyerɛkyerɛ ɔmo sɛdeɛ yɛ use nnuro ɛne sɛ deɛ yɛ use fatliza ɛne machines ne biribiara mprempren which is organic fa
CxdwVyzSQqY_021.wav,obiaa biribi nti ama abaayesfoɔ no aba dodoɔ sɛ obiara pɛ bi akɔ india ne rebert sɛ yɛn ghanafoɔ no yɛyɛ ntɔ nti yɛntɔ yi deɛ a ɔmo nso na woba ɔmo de sika ba yi na ghana goverment price service
gNbNpWvneL4_049.wav,nipa baako ɛkɔfa problem ba a deɛ ɛbɛka ne sɛ hatresi nyinaa ɛnyɛ nanso na ebia ɛnte saa enti deɛ yɛ deɛ yɛ produce kosua no yɛ de no deɛ vaccine ne nnoɔma a wode gu ne mu no wode bɔ ne maame ne ho ban na yɛn nyinaa yɛde ama antibodies bi gu kosua no mu
UFUYtaFLimQ_042.wav,yɛsrɛ mo okey na ma no bɔ akɔ soro ɔmmeeɛ yɛnni baanu nyinaa yɛngyina ntɛm nyame gyina hɔ ntɛm na yebesi a yɛbɛyɛ me sɛ sesei de kyerɛ sɛ wɔka a na matete wei mpo me ho hwee nanso
gFTao_lZuBE_058.wav,kakra a ɛwɔ mu ne sɛ me deɛ mede me nsa ato mu awie na mehwɛ na manya afiri mu nso so a sɛbe ɛnyɛ nipa nyinaa na ɛnyɛ no saa nti mentena ha ɛnyɛ nyame bɔne ayɛ na menyi ghana nso so ɛbone ayɛ na ɛsan sɛ mayɛ adwuma no ahodoɔ bebree enti sɛ baabi ɛrekɔ fam a deɛ ɛbɛyɛ ne sɛ baabi a ɛhɔ ɛrekɔ soro no na mede hɔ no aba abɛ boa baabi a ɛhɔ ɛkɔ fam no
ks5P7CALGh0_031.wav,bi na yie na y'ahwɛso sɛ ministry no nso nhyehyɛɛ bi a ɔde baabiara no so no ɛsɛ ɛda nokware no ah na ne kwan mu a sɛbe mu bi deɛ sɛ wonim sɛ ɛnyɛ adeɛ a yɛbɛte aseɛ because yɛda nnipa no ɛna nipa nso na yɛrekasa ma ɔmo ɛna nipa na ɛyɛ kasa ma ɔmo no nso so wɔ expe
OUjJti89dFw_001.wav,cocoa no a afei yɛrekɔ no afei na yɛbɛdi cocoa no mu dɛ nti mesrɛ kwani biara sɛ ɔmo ho mmɔden sɛ wo kɔ kɔ aka nwuram koraa seesei hu seesei mu no sɛnea ɛtete no wɔ mfiri no so no sɛ onyamena adom koraa afei yɛbɛkɔ yɛn anim enti
jDR8l1jSoiI_064.wav,oh nyame adom ɛyɛ ara because wohwɛ a ɛnam the quality of x a produce wɔ ha nti no yɛnni complete atɔfoɔ mmere pii no mmaa no koraa moba a na ɔmo because wɔn nyankopɔn anaa sɛ like ɔmo star thousands no ɔmo nya no saa nka ɔmo pɛ but
U49vb7IvOj4_001.wav,aane akuafoɔ ɛyɛ da mo ase oh akua yɛ da mo ase nananom akuafo akuafoɔ yɛda mo ase ei yɛ nsa bɛkɔ yɛ
0mBn_66y9qc_027.wav,sɛ wobɛtɔn aba anaa sisi aka ho a wo saa hia tu me krataa ɛfiri bprs hɔ enti nneɛma na wɔtɔn no ansa nipa no bɛtumi adi saa adwuma no nkrataa mmiensa na ɔhia a bra no bra no yɛ nyinaa me a mekɔ field but me me nsa question wei nso kwa
cOW837CrnYU_065.wav,mereka 22 24 cocoa sindicated low no ɛbɛduru cocobod kofɛsɛ 27 december a na yɛbue season september enti september october november basically december na sika nni ɔmo de tɔ cocoa enti aka nana stand but ɔnifoɔ 25 y.b
Ico6GawnSTo_038.wav,na ɔmo yie na sɛ nwura no dɔɔso a ɛyi bebree bɛsene asɛe mmoa tumi bobɔ mu ntɔkwa ɛwom ɛbɛtu agu enti wo
K4feVFrBDq0_025.wav,stains no ɛkabom ɛhyɛɛ bi soils a ɛwɔ saa area hɔ ne but yɛnteaseɛ about the liza no ɛwɔ fam every year biara yɛyɛ demonstrations across the country we tell farmers sɛ felises ɛnyɛ adeɛ a yɛba but ɛwɔ sɛ yɛtumi nya the ride fertilizer na yɛtumi ma nnɔ
JkrzuPdcnpk_025.wav,ahwɛfoɔ a sɛn na woretumi aka sɛ baabi a yɛgyina ha sei sei a no ɛnyɛ amanfoɔ nyinaa ni ei ebi wɔ anim hɔ ɛyɛ me sɛ moafa hɔ but yɛ nyame wie hɔ no deɛ no nti ɛha na yɛahyɛ aseɛ a yɛretim nti na wo no ɛhɔ no nso bɛyɛ
-wh2zszibUc_044.wav,no ɛnyɛ obiaa na ɛde maa wɔn na ɛde saa sika no kɔtoo adb sɛdeɛ ɛbɛyɛ a ɛmu dwuma nkoaa na yɛde yɛ enti no ɛbɛka emufoɔ no nyinaa me ne wo wie w'anom asɛm bɛtwa toa de ma ghana akuafo tituo no ma mo dua mu now ɛsɛ sɛ ɛmo yɛ potential paa na deɛ ɛbɛboa no ne sɛ yɛnni deɛ yɛdua wɔ ha na ɛbɛboa na abaa no nso ɛyɛ ne fa ɔbaa atampa programme baeɛ yi so aban
BCXDMxlb4T8_021.wav,ɔbɛtu na obi nso wo dua na bi rebɔ spray na ebi nsoso ɛdɔ aburoo no na ebi dua enti sɛ saa dwuma wei wotumi yɛ ne nyinaa ayɛ no yie a ghana head paa akua adwuma koraa ayɛ dɛ efisɛ first na yɛ maame no yɛ papa ɔmo de sekan nkoaa na ɛdɔ nti adwuma yɛnnim sɛ
3uBNR8R2_Dw_019.wav,mhm ɛna me deɛ ɛgu mu okay na mede efi nkyerɛkyerɛ okey abusuafoɔ kwan no ara na ɔgu so no na ɛkyerɛ sɛ aburo no ebia watutu deɛ ɛnnɛ watutu bi a ɛnora anaasɛ ne nyinaa ɔmo atutu no aburoo dua ɛfuo no ɛso bɔtɔ a ɛwom peinspectors no nyinaa ɛwɔ sɛ ɛ
v-xgiQM0EBI_051.wav,spirit no ɛgu mu ɛneɛ aduro biara a wode spray biara no but asɛ ɛyɛ ghana ha no nso yɛwɔ aduro a aban akyerɛkyerɛ sɛ yɛmfa ɛnyɛ ɛyi kyerɛsɛ slaa aduro nyinaa akɔ tafo ama wɔn attest ama ɔmo ahunu sɛ ɛyɛ good nti sɛ wobɛtɔ aduro a ɔde bɛham nti wei firi ha nom no na ɛre
XV2z3tFEcSs_029.wav,antkaa yɛn kɔkɔyɛ ne adeɛ no ɛbɛko n'anim ntɛm so na anka adeɛ yɛka wɔ ghana no ɔno yɛ bi na ɔne amfɛmfoɔ yɛ bi na ebi yɛn na ɔkɔgye bɛkum na ɛma yɛnam awie no sika saa n'adwumadie no na ɛhyehyɛ no toa so a anka ɛbɛkɔ n'anim saa nso ɛna nkosua bɛka bere bi yɛne no nkɔmɔ twetwee mu no kwan a yɛbɛfa so a nkosua koraa no ghana yɛdi kosua paa
GtpF2LNbqog_048.wav,agye ato mu afiri ghana nti ɔmo a ɔmo redi dwa kɔ abɔnten no ɔmo mmra na yɛnyɛ nhyehyɛ ghana yɛgye wodi a ɛbɛyɛ yie o mo mmiensa mu na ɛnyɛ mahunu potential
BVAVimTXTUY_008.wav,fine nea ɛnyɛ ara ne sɛ baabia nsuo tae deɛ ɛno deɛ wode yɛ pɛ ɛbɛporɔ okay yɛnhwɛ na afei fa yɛtoa so sɛ yɛdi buronya wie a na yɛse january mu na kyerɛ sɛ afe no akɔ awie fi saa berɛ no ara ɛkɔ afe no awie berɛ bɛn na ɛwɔ brɛ aseɛ okay na saa time no ɛbɛdu
OgNHclJZuRw_017.wav,ha yi no na ɛbɛn ne ti no nti wode wo wɔ ha sei na aduro no firi ha nom a na ɛyɛ adwuma aba ne ti no mu sɛ nnɛ wobɛnya atenka no ahaa wode wo ha yi na ɛbɛkyɛ wode wo hɔ na ɛdi 829 hours ansa
YVI9cEERMgo_050.wav,ɛwɔ kwan a akuani no bɛfa so wɔ ne extension office a ɛwɔ hɔ no bɛdi nkitaho akuafoɔ no bebree wɔ hɔ a extension officers no deɛ problem ɛwɔ sɛ ɔmo como problem ɛna coco polls no wokɔ
