question,answer,category,source_text,original_twi,file_name
How do I know if my young cocoa plants are getting enough water during the dry season?,"If young cocoa plants do not get enough water, their leaves will droop, curl, and turn brown at the tips. You can check the soil by digging a few inches down near the plant; if it feels completely dry and crumbles easily, the roots need water.",Watering and Irrigation,"Regarding the cocoa, it has become a matter of discussion. The work you demonstrated, where you reached the point of using a cup and such for irrigation—that is what we first wanted to find out: how things are when you do the work and it thrives, and about the attachments and all that, because there is a reason.",ɔhyeɛfoɔ ɛyɛ cocoa a ɛno aba abɛyɛ nsɛm nna hɔ adwuma a woyɛeɛ woakyerɛkyerɛ sɛ yɛduru baabi koraa na wo de cup ne ade na ɛyɛ irrigation ɛno yɛde adikan deɛ ɔde yɛpɛ hu no sɛ woyɛ adwuma na adɔ ne ne nkeka ho ne adeɛ no na ɛte sɛn because bi da,1u4Dmwoh04U_030.wav
Is it helpful to manually water my young cocoa seedlings using simple containers like cups during dry months?,"Yes, during severe dry spells, pouring a measured cup or small tin of water directly at the base of each seedling keeps the main roots alive without wasting water on surrounding weeds.",Watering and Irrigation,"Regarding the cocoa, it has become a matter of discussion. The work you demonstrated, where you reached the point of using a cup and such for irrigation—that is what we first wanted to find out: how things are when you do the work and it thrives, and about the attachments and all that, because there is a reason.",ɔhyeɛfoɔ ɛyɛ cocoa a ɛno aba abɛyɛ nsɛm nna hɔ adwuma a woyɛeɛ woakyerɛkyerɛ sɛ yɛduru baabi koraa na wo de cup ne ade na ɛyɛ irrigation ɛno yɛde adikan deɛ ɔde yɛpɛ hu no sɛ woyɛ adwuma na adɔ ne ne nkeka ho ne adeɛ no na ɛte sɛn because bi da,1u4Dmwoh04U_030.wav
What is the best time of day to water my cocoa seedlings?,"The best time to water cocoa seedlings is early in the morning or late in the afternoon. During these cooler times, water does not evaporate quickly in the sun, allowing the roots to absorb most of it.",Watering and Irrigation,"Regarding the cocoa, it has become a matter of discussion. The work you demonstrated, where you reached the point of using a cup and such for irrigation—that is what we first wanted to find out: how things are when you do the work and it thrives, and about the attachments and all that, because there is a reason.",ɔhyeɛfoɔ ɛyɛ cocoa a ɛno aba abɛyɛ nsɛm nna hɔ adwuma a woyɛeɛ woakyerɛkyerɛ sɛ yɛduru baabi koraa na wo de cup ne ade na ɛyɛ irrigation ɛno yɛde adikan deɛ ɔde yɛpɛ hu no sɛ woyɛ adwuma na adɔ ne ne nkeka ho ne adeɛ no na ɛte sɛn because bi da,1u4Dmwoh04U_030.wav
Can I attach simple hose pipes or drip nozzles to a water drum to irrigate my crop?,"Yes, connecting basic hose pipes or drip attachments to a elevated water drum allows water to trickle slowly to the base of each plant, saving you labor while delivering steady moisture directly to the roots.",Watering and Irrigation,"Regarding the cocoa, it has become a matter of discussion. The work you demonstrated, where you reached the point of using a cup and such for irrigation—that is what we first wanted to find out: how things are when you do the work and it thrives, and about the attachments and all that, because there is a reason.",ɔhyeɛfoɔ ɛyɛ cocoa a ɛno aba abɛyɛ nsɛm nna hɔ adwuma a woyɛeɛ woakyerɛkyerɛ sɛ yɛduru baabi koraa na wo de cup ne ade na ɛyɛ irrigation ɛno yɛde adikan deɛ ɔde yɛpɛ hu no sɛ woyɛ adwuma na adɔ ne ne nkeka ho ne adeɛ no na ɛte sɛn because bi da,1u4Dmwoh04U_030.wav
How can I measure the right amount of liquid fertilizer or water to give each seedling without expensive tools?,"You can use standard plastic cups or small tins as measurement units to ensure every seedling receives the exact same amount of liquid, preventing plant damage from over-application.",Nutrient and Input Application,"Regarding the cocoa, it has become a matter of discussion. The work you demonstrated, where you reached the point of using a cup and such for irrigation—that is what we first wanted to find out: how things are when you do the work and it thrives, and about the attachments and all that, because there is a reason.",ɔhyeɛfoɔ ɛyɛ cocoa a ɛno aba abɛyɛ nsɛm nna hɔ adwuma a woyɛeɛ woakyerɛkyerɛ sɛ yɛduru baabi koraa na wo de cup ne ade na ɛyɛ irrigation ɛno yɛde adikan deɛ ɔde yɛpɛ hu no sɛ woyɛ adwuma na adɔ ne ne nkeka ho ne adeɛ no na ɛte sɛn because bi da,1u4Dmwoh04U_030.wav
Why do my cocoa trees drop their flowers before they turn into full pods?,"Cocoa trees naturally shed flowers if they experience stress, such as a sudden lack of water, extreme heat, or insufficient nutrients in the soil.",Crop Behavior and Health,"Regarding the cocoa, it has become a matter of discussion. The work you demonstrated, where you reached the point of using a cup and such for irrigation—that is what we first wanted to find out: how things are when you do the work and it thrives, and about the attachments and all that, because there is a reason.",ɔhyeɛfoɔ ɛyɛ cocoa a ɛno aba abɛyɛ nsɛm nna hɔ adwuma a woyɛeɛ woakyerɛkyerɛ sɛ yɛduru baabi koraa na wo de cup ne ade na ɛyɛ irrigation ɛno yɛde adikan deɛ ɔde yɛpɛ hu no sɛ woyɛ adwuma na adɔ ne ne nkeka ho ne adeɛ no na ɛte sɛn because bi da,1u4Dmwoh04U_030.wav
What causes my cocoa leaves to turn yellow and dry out at the edges?,"Yellow leaves with dry edges usually indicate that the plant is getting too much harsh sunlight without enough moisture, or that the soil is lacking essential nutrients like nitrogen.",Crop Behavior and Health,"Regarding the cocoa, it has become a matter of discussion. The work you demonstrated, where you reached the point of using a cup and such for irrigation—that is what we first wanted to find out: how things are when you do the work and it thrives, and about the attachments and all that, because there is a reason.",ɔhyeɛfoɔ ɛyɛ cocoa a ɛno aba abɛyɛ nsɛm nna hɔ adwuma a woyɛeɛ woakyerɛkyerɛ sɛ yɛduru baabi koraa na wo de cup ne ade na ɛyɛ irrigation ɛno yɛde adikan deɛ ɔde yɛpɛ hu no sɛ woyɛ adwuma na adɔ ne ne nkeka ho ne adeɛ no na ɛte sɛn because bi da,1u4Dmwoh04U_030.wav
Why are some cocoa trees on my farm growing very fast while others remain small?,"Cocoa trees grow at different speeds depending on variations in soil quality across your farm, differing sunlight exposure, or competition for nutrients from nearby weed roots.",Crop Behavior and Health,"Regarding the cocoa, it has become a matter of discussion. The work you demonstrated, where you reached the point of using a cup and such for irrigation—that is what we first wanted to find out: how things are when you do the work and it thrives, and about the attachments and all that, because there is a reason.",ɔhyeɛfoɔ ɛyɛ cocoa a ɛno aba abɛyɛ nsɛm nna hɔ adwuma a woyɛeɛ woakyerɛkyerɛ sɛ yɛduru baabi koraa na wo de cup ne ade na ɛyɛ irrigation ɛno yɛde adikan deɛ ɔde yɛpɛ hu no sɛ woyɛ adwuma na adɔ ne ne nkeka ho ne adeɛ no na ɛte sɛn because bi da,1u4Dmwoh04U_030.wav
How does too much standing water around the base affect my cocoa trees?,"When water sits around the base of a cocoa tree for too long, it prevents the roots from breathing, leading to root rot which causes leaves to turn yellow and fall off.",Crop Behavior and Health,"Regarding the cocoa, it has become a matter of discussion. The work you demonstrated, where you reached the point of using a cup and such for irrigation—that is what we first wanted to find out: how things are when you do the work and it thrives, and about the attachments and all that, because there is a reason.",ɔhyeɛfoɔ ɛyɛ cocoa a ɛno aba abɛyɛ nsɛm nna hɔ adwuma a woyɛeɛ woakyerɛkyerɛ sɛ yɛduru baabi koraa na wo de cup ne ade na ɛyɛ irrigation ɛno yɛde adikan deɛ ɔde yɛpɛ hu no sɛ woyɛ adwuma na adɔ ne ne nkeka ho ne adeɛ no na ɛte sɛn because bi da,1u4Dmwoh04U_030.wav
Why do my young cocoa plants need shade trees planted around them?,"Young cocoa trees have delicate leaves that sunburn easily under direct heat. Shade trees act like protective canopies, keeping the soil cool and reducing moisture loss from the ground.",Shade and Farm Management,"Regarding the cocoa, it has become a matter of discussion. The work you demonstrated, where you reached the point of using a cup and such for irrigation—that is what we first wanted to find out: how things are when you do the work and it thrives, and about the attachments and all that, because there is a reason.",ɔhyeɛfoɔ ɛyɛ cocoa a ɛno aba abɛyɛ nsɛm nna hɔ adwuma a woyɛeɛ woakyerɛkyerɛ sɛ yɛduru baabi koraa na wo de cup ne ade na ɛyɛ irrigation ɛno yɛde adikan deɛ ɔde yɛpɛ hu no sɛ woyɛ adwuma na adɔ ne ne nkeka ho ne adeɛ no na ɛte sɛn because bi da,1u4Dmwoh04U_030.wav
Why are the leaves on my cocoa trees turning yellow and dropping off during the dry season?,"Cocoa trees naturally drop leaves during the dry Harmattan season to reduce water loss. However, severe leaf yellowing and drop often mean the trees lack adequate shade from larger trees or are stressed by a shortage of soil nutrients like nitrogen and potassium.",Crop Symptoms and Growth Behavior,"In 2010 at the house, yeah, the interview took place because I was coming to say that the money I paid to the government amounted to seventy... why did someone cheat me in the transaction? But as a Ghanaian, I feel that only the number one gentleman of the land can speak on my behalf to help me and take me forward. Hmm, so I fought the customer.",2010 the lat present tatame house yeah interview no yɛ because merebɛkaa sɛ no sika a metua ama aban no ama seventy wordt of mention adɛn na trans obi sisi me but me yɛ ghanani deɛ the number one gentleman of the land pɛ na me feel sɛ ɔbɛtumi aka masɛm ama me sɛ ɔboa me kumfaa me kɔ hmm nti me fight the customer me,GV1jUdzu2FM_030.wav
"Why does my cassava plant grow very tall with thick green leaves, but the tubers underground remain very small?","When soil has too much nitrogen, the cassava plant spends all its energy growing branches and leaves above the ground instead of storing starch in the root tubers below.",Crop Symptoms and Growth Behavior,"In 2010 at the house, yeah, the interview took place because I was coming to say that the money I paid to the government amounted to seventy... why did someone cheat me in the transaction? But as a Ghanaian, I feel that only the number one gentleman of the land can speak on my behalf to help me and take me forward. Hmm, so I fought the customer.",2010 the lat present tatame house yeah interview no yɛ because merebɛkaa sɛ no sika a metua ama aban no ama seventy wordt of mention adɛn na trans obi sisi me but me yɛ ghanani deɛ the number one gentleman of the land pɛ na me feel sɛ ɔbɛtumi aka masɛm ama me sɛ ɔboa me kumfaa me kɔ hmm nti me fight the customer me,GV1jUdzu2FM_030.wav
Why do my tomato flowers fall off the plant before producing any fruits?,"Tomato flowers drop when the plant experiences stress from very high temperatures, irregular watering, or a lack of pollination. Without steady moisture and proper heat management, the flower fails to set fruit.",Crop Symptoms and Growth Behavior,"In 2010 at the house, yeah, the interview took place because I was coming to say that the money I paid to the government amounted to seventy... why did someone cheat me in the transaction? But as a Ghanaian, I feel that only the number one gentleman of the land can speak on my behalf to help me and take me forward. Hmm, so I fought the customer.",2010 the lat present tatame house yeah interview no yɛ because merebɛkaa sɛ no sika a metua ama aban no ama seventy wordt of mention adɛn na trans obi sisi me but me yɛ ghanani deɛ the number one gentleman of the land pɛ na me feel sɛ ɔbɛtumi aka masɛm ama me sɛ ɔboa me kumfaa me kɔ hmm nti me fight the customer me,GV1jUdzu2FM_030.wav
"Why do the leaves on my pepper plants curl up, shrink, and stop growing properly?","Leaf curling in pepper plants is usually caused by tiny sucking insects like thrips or whiteflies feeding on the sap, or by a virus transmitted by these insects that distorts plant growth.",Crop Symptoms and Growth Behavior,"In 2010 at the house, yeah, the interview took place because I was coming to say that the money I paid to the government amounted to seventy... why did someone cheat me in the transaction? But as a Ghanaian, I feel that only the number one gentleman of the land can speak on my behalf to help me and take me forward. Hmm, so I fought the customer.",2010 the lat present tatame house yeah interview no yɛ because merebɛkaa sɛ no sika a metua ama aban no ama seventy wordt of mention adɛn na trans obi sisi me but me yɛ ghanani deɛ the number one gentleman of the land pɛ na me feel sɛ ɔbɛtumi aka masɛm ama me sɛ ɔboa me kumfaa me kɔ hmm nti me fight the customer me,GV1jUdzu2FM_030.wav
Why are the leaves of my young maize plants turning pale yellow instead of dark green?,"Yellow leaves usually mean the soil lacks nitrogen, which is the main food maize needs to grow green and strong. Adding nitrogen-rich fertilizer like NPK or well-rotted animal manure gives the plants the nutrients required to regain their healthy green color.",Soil & Fertilization,"And the transport officer, okay, and the work I was doing, I was also doing side hustles along with it. And the white man for the job said I was just doing it to pass time. Oh okay, what we would call a hall, so it's not like I went to a specific school to study it, or that I was studying it; they all just do it.",na ɛsɛ transport officer okay na na adwuma no a na mereyɛ no na kwaadwuma no nso mede abata ho na adwuma no broni bɛkaa sɛ na ɛyɛ mede gyegye m'ani oh okay a yɛbɛfrɛ no sɛ hall bi nti nyɛ adeɛ sɛ mekɔ agreed school bi ɛkɔ suae anaasɛ merekɔsua no deɛ na ɔmo nyinaa yɛ,iEcjfQh1G0U_013.wav
Why is it bad for me to plant maize on the exact same piece of land every single year?,Planting the same crop every season drains the exact same nutrients from the soil repeatedly and allows crop-specific pests and diseases to build up in the field. Rotating with legumes like groundnuts or cowpeas restores nutrients naturally back into the soil.,Soil & Fertilization,"And the transport officer, okay, and the work I was doing, I was also doing side hustles along with it. And the white man for the job said I was just doing it to pass time. Oh okay, what we would call a hall, so it's not like I went to a specific school to study it, or that I was studying it; they all just do it.",na ɛsɛ transport officer okay na na adwuma no a na mereyɛ no na kwaadwuma no nso mede abata ho na adwuma no broni bɛkaa sɛ na ɛyɛ mede gyegye m'ani oh okay a yɛbɛfrɛ no sɛ hall bi nti nyɛ adeɛ sɛ mekɔ agreed school bi ɛkɔ suae anaasɛ merekɔsua no deɛ na ɔmo nyinaa yɛ,iEcjfQh1G0U_013.wav
Will I harvest more food if I plant my crop seeds very close together in the field?,"No, planting seeds too close causes the crops to fight each other for limited sunlight, water, and soil nutrients, leading to thin, weak plants with small yields. Giving crops proper spacing ensures every plant gets enough resources to produce a large harvest.",Plant Spacing & Support,"And the transport officer, okay, and the work I was doing, I was also doing side hustles along with it. And the white man for the job said I was just doing it to pass time. Oh okay, what we would call a hall, so it's not like I went to a specific school to study it, or that I was studying it; they all just do it.",na ɛsɛ transport officer okay na na adwuma no a na mereyɛ no na kwaadwuma no nso mede abata ho na adwuma no broni bɛkaa sɛ na ɛyɛ mede gyegye m'ani oh okay a yɛbɛfrɛ no sɛ hall bi nti nyɛ adeɛ sɛ mekɔ agreed school bi ɛkɔ suae anaasɛ merekɔsua no deɛ na ɔmo nyinaa yɛ,iEcjfQh1G0U_013.wav
Why do I need to put long wooden sticks in the ground for my yam vines to climb?,"Yam leaves need direct sunlight to produce the energy required to grow large tubers underground. Staking lifts the foliage off the damp soil into the sunlight, which also prevents fungal diseases from destroying wet leaves on the ground.",Plant Spacing & Support,"And the transport officer, okay, and the work I was doing, I was also doing side hustles along with it. And the white man for the job said I was just doing it to pass time. Oh okay, what we would call a hall, so it's not like I went to a specific school to study it, or that I was studying it; they all just do it.",na ɛsɛ transport officer okay na na adwuma no a na mereyɛ no na kwaadwuma no nso mede abata ho na adwuma no broni bɛkaa sɛ na ɛyɛ mede gyegye m'ani oh okay a yɛbɛfrɛ no sɛ hall bi nti nyɛ adeɛ sɛ mekɔ agreed school bi ɛkɔ suae anaasɛ merekɔsua no deɛ na ɔmo nyinaa yɛ,iEcjfQh1G0U_013.wav
Why do my cassava roots rot underground in the soil before I get to harvest them?,Cassava roots rot when excessive rainwater sits in heavy soil and smothers the root system. Planting your cassava on raised soil mounds or ridges allows excess water to drain away easily so the roots stay healthy.,Water & Shade Management,"And the transport officer, okay, and the work I was doing, I was also doing side hustles along with it. And the white man for the job said I was just doing it to pass time. Oh okay, what we would call a hall, so it's not like I went to a specific school to study it, or that I was studying it; they all just do it.",na ɛsɛ transport officer okay na na adwuma no a na mereyɛ no na kwaadwuma no nso mede abata ho na adwuma no broni bɛkaa sɛ na ɛyɛ mede gyegye m'ani oh okay a yɛbɛfrɛ no sɛ hall bi nti nyɛ adeɛ sɛ mekɔ agreed school bi ɛkɔ suae anaasɛ merekɔsua no deɛ na ɔmo nyinaa yɛ,iEcjfQh1G0U_013.wav
Why do my young cocoa trees dry up and die during the hot harmattan season?,"Dry harmattan winds and intense sunlight draw water out of young cocoa plants faster than their small roots can drink it. Planting plantains alongside young cocoa provides shade and traps moisture, protecting the seedlings until they grow strong roots.",Water & Shade Management,"And the transport officer, okay, and the work I was doing, I was also doing side hustles along with it. And the white man for the job said I was just doing it to pass time. Oh okay, what we would call a hall, so it's not like I went to a specific school to study it, or that I was studying it; they all just do it.",na ɛsɛ transport officer okay na na adwuma no a na mereyɛ no na kwaadwuma no nso mede abata ho na adwuma no broni bɛkaa sɛ na ɛyɛ mede gyegye m'ani oh okay a yɛbɛfrɛ no sɛ hall bi nti nyɛ adeɛ sɛ mekɔ agreed school bi ɛkɔ suae anaasɛ merekɔsua no deɛ na ɔmo nyinaa yɛ,iEcjfQh1G0U_013.wav
What is causing ragged holes in my maize leaves along with small brownish dirt inside the top of the plant?,Ragged holes and brownish dirt are signs of Fall Armyworm caterpillars eating the center of your maize plants. Applying recommended treatments directly into the central funnel of the plant early in the morning destroys the caterpillars before they ruin the whole crop.,Pest & Disease Control,"And the transport officer, okay, and the work I was doing, I was also doing side hustles along with it. And the white man for the job said I was just doing it to pass time. Oh okay, what we would call a hall, so it's not like I went to a specific school to study it, or that I was studying it; they all just do it.",na ɛsɛ transport officer okay na na adwuma no a na mereyɛ no na kwaadwuma no nso mede abata ho na adwuma no broni bɛkaa sɛ na ɛyɛ mede gyegye m'ani oh okay a yɛbɛfrɛ no sɛ hall bi nti nyɛ adeɛ sɛ mekɔ agreed school bi ɛkɔ suae anaasɛ merekɔsua no deɛ na ɔmo nyinaa yɛ,iEcjfQh1G0U_013.wav
Why are the leaves on my pepper plants curling upwards and twisting tightly like old paper?,Leaf curling in peppers is typically caused by tiny sucking pests like aphids or thrips that spread plant viruses while feeding on leaf sap. Controlling these pests early with neem oil or recommended sprays protects new leaves from curling.,Pest & Disease Control,"And the transport officer, okay, and the work I was doing, I was also doing side hustles along with it. And the white man for the job said I was just doing it to pass time. Oh okay, what we would call a hall, so it's not like I went to a specific school to study it, or that I was studying it; they all just do it.",na ɛsɛ transport officer okay na na adwuma no a na mereyɛ no na kwaadwuma no nso mede abata ho na adwuma no broni bɛkaa sɛ na ɛyɛ mede gyegye m'ani oh okay a yɛbɛfrɛ no sɛ hall bi nti nyɛ adeɛ sɛ mekɔ agreed school bi ɛkɔ suae anaasɛ merekɔsua no deɛ na ɔmo nyinaa yɛ,iEcjfQh1G0U_013.wav
Why are the flowers on my tomato plants falling off without turning into tomatoes?,Tomato flowers drop when the plant suffers from sudden heat stress or uneven watering. Keeping the soil consistently moist around the base of the plant during hot periods encourages the flowers to stay on and turn into tomatoes.,Flower & Yield Management,"And the transport officer, okay, and the work I was doing, I was also doing side hustles along with it. And the white man for the job said I was just doing it to pass time. Oh okay, what we would call a hall, so it's not like I went to a specific school to study it, or that I was studying it; they all just do it.",na ɛsɛ transport officer okay na na adwuma no a na mereyɛ no na kwaadwuma no nso mede abata ho na adwuma no broni bɛkaa sɛ na ɛyɛ mede gyegye m'ani oh okay a yɛbɛfrɛ no sɛ hall bi nti nyɛ adeɛ sɛ mekɔ agreed school bi ɛkɔ suae anaasɛ merekɔsua no deɛ na ɔmo nyinaa yɛ,iEcjfQh1G0U_013.wav
Why do weeds make my crops stay small and weak even when I water them?,Weeds act as aggressive competitors that drink up the water and steal the soil food meant for your crops. Removing weeds early gives your crops full access to the nutrients they need to grow tall and strong.,Flower & Yield Management,"And the transport officer, okay, and the work I was doing, I was also doing side hustles along with it. And the white man for the job said I was just doing it to pass time. Oh okay, what we would call a hall, so it's not like I went to a specific school to study it, or that I was studying it; they all just do it.",na ɛsɛ transport officer okay na na adwuma no a na mereyɛ no na kwaadwuma no nso mede abata ho na adwuma no broni bɛkaa sɛ na ɛyɛ mede gyegye m'ani oh okay a yɛbɛfrɛ no sɛ hall bi nti nyɛ adeɛ sɛ mekɔ agreed school bi ɛkɔ suae anaasɛ merekɔsua no deɛ na ɔmo nyinaa yɛ,iEcjfQh1G0U_013.wav
